denuncia_fecha,denuncia_tipo_explotacion,denuncia_via_ingreso,denunciante_tipo_acercamiento,hecho_localidad,hecho_provincia,hecho_pais,hecho_denuncia_previa,derivacion_judicializacion_organismo,derivacion_judicializacion_fecha
2017-01-14,Explotación sexual,Línea 145,Otros,Caba,Caba,Argentina,,Protex,2017-01-14
2017-01-14,Explotación laboral,Línea 145,Otros,DEPARTAMENTO DE CAUCETE,San Juan,Argentina,,Protex,2017-01-14
2017-01-14,Secuestro/Venta de niños/pornografía infantil,Línea 145,Otros,Caba,Caba,Argentina,,Protex,2017-01-14
2017-01-14,Explotación laboral,Línea 145,Sin datos,CÓRDOBA,Córdoba,Argentina,,Protex,2017-01-14
2017-01-14,Desaparición,Línea 145,Sin datos,Caba,Caba,Argentina,,Protex,2017-01-14
2017-01-14,Desaparición,Línea 145,Sin datos,,,,,Protex,2017-01-14
2017-01-14,Desaparición,Línea 145,Sin datos,,,,,Protex,2017-01-14
2017-01-14,Oferta laboral engañosa,Línea 145,Sin datos,CORRIENTES,Corrientes,Argentina,,Protex - PNA Área legal para judicializar ,2017-01-15
2017-01-14,Explotación laboral,Línea 145,Otros,Caba,Caba,Argentina,,,
2017-01-15,Oferta laboral engañosa,Línea 145,Televisión,CORDOBA,Córdoba,Argentina,,Protex,2017-01-15
2017-01-15,Desaparición,Línea 145,Por contacto (boca en boca),SANTA FE,Santa Fe,Argentina,,Protex,2017-01-15
2017-01-15,Oferta laboral engañosa,Línea 145,Otros,CORRIENTES,Córdoba,Argentina,,Protex,2017-01-15
2017-01-15,Explotación sexual,Línea 145,Sin datos,JUJUY Y SALTA,Jujuy,Argentina,,Protex,2017-01-15
2017-01-15,Explotación sexual,Línea 145,Sin datos,TUCUMAN,Tucumán,Argentina,,Protex,2017-01-16
2017-01-15,Desaparición,Línea 145,Sin datos,Caba,Caba,Argentina,,PNA Área legal para judicializar ,2017-01-15
2017-01-15,Secuestro/Venta de niños/pornografía infantil,Línea 145,Sin datos,LA PLATA,Buenos Aires,Argentina,,Protex - Fuerzas de seguridad federales,2017-01-15
2017-01-15,Secuestro/Venta de niños/pornografía infantil,Línea 145,Sin datos,Caba,Caba,Argentina,,No sale,
2017-01-15,Secuestro/Venta de niños/pornografía infantil,Línea 145,Sin datos,BUENOS AIRES,Buenos Aires,Argentina,,,
2017-01-16,Explotación sexual,Línea 145,Televisión,Caba,Caba,Argentina,,Área legal (judicializadas),2017-01-16
2017-01-16,Explotación laboral,Línea 145,Sin datos,Caba,Caba,Argentina,,Área legal (judicializadas),2017-01-16
2017-01-16,Explotación laboral,Línea 145,Otros,Mataderos,Buenos Aires,Argentina,,Protex,2017-01-16
2017-01-16,Desaparición,Línea 145,Otros,LA PLATA,Buenos Aires,Argentina,,Protex,2017-01-16
2017-01-16,Desaparición,Línea 145,Otros,QUILMES,Buenos Aires,Argentina,Sí,Protex,2017-01-16
2017-01-16,Explotación sexual,Línea 145,Sin datos,ROSARIO,Santa Fe,Argentina,,Protex,2017-01-16
2017-01-16,Explotación sexual,Línea 145,Otros,Caba,Caba,Argentina,,PNA Área legal para judicializar ,2017-01-16
2017-01-16,Publicidad de oferta sexual,Línea 145,Televisión,Caba,Caba,Argentina,,Oficina de Monitoreo - Área legal (judicializadas),2017-01-17
2017-01-16,Explotación sexual,Línea 145,Sin datos,MAR DEL PLATA,Buenos Aires,Argentina,,Protex - Fuerzas de seguridad federales,2017-01-16
2017-01-17,Oferta laboral engañosa,Línea 145,Otros,Caba ,Caba,Argentina,,Área legal (judicializadas),2017-01-17
2017-01-17,Desaparición,Línea 145,Por contacto (boca en boca),SAN ISíDRO DE VALLE VIEJO,Catamarca,Argentina,,Protex,2017-01-17
2017-01-17,Desaparición,Línea 145,Por contacto (boca en boca),,,,,Protex,2017-01-17
2017-01-17,Oferta laboral engañosa,Línea 145,Por contacto (boca en boca),SANTIAGO DEL ESTERO,Santiago del Estero,Argentina,,Protex,2017-01-17
2017-01-17,Explotación sexual,Línea 145,Otros,JOSE C PAZ,Buenos Aires,Argentina,,Protex,2017-01-17
2017-01-17,Explotación sexual,Línea 145,Por contacto (boca en boca),Caba,Caba,Argentina,,PNA Área legal para judicializar ,2017-01-17
2017-01-17,Publicidad de oferta sexual,Línea 145,Por contacto (boca en boca),NEUQUÉN,Neuquén,Argentina,,Ministerio de Seguridad - Oficina de Monitoreo,2017-01-17
2017-01-17,Explotación sexual,Línea 145,Otros,MAR DEL PLATA,Buenos Aires,Argentina,,Protex - Fuerzas de seguridad federales,2017-01-17
2017-01-18,Secuestro/Venta de niños/pornografía infantil,Línea 145,Otros,Caba,Caba,Argentina,,Área legal (judicializadas),2017-01-18
2017-01-18,Desaparición,Línea 145,Televisión,"CIUDAD DE EMBARCACION - DTO SAN MARTIN
SALTA",Salta,Argentina,Sí,Protex,2017-01-18
2017-01-18,Explotación sexual,Línea 145,Campañas del programa,CONCEPCIÓN DE TUCUMAN,Tucumán,Argentina,,Protex,2017-01-18
2017-01-18,Explotación sexual,Línea 145,Otros,SAN ISíDRO ,Buenos Aires,Argentina,,Protex,2017-01-18
